,player_id,Season,Date,Left,Joined,MV,Fee
5081,28356,19/20,"Aug1,2019",Guingamp,FCNantes,€400k,freetransfer
5082,28356,17/18,"Aug31,2017",AngersSCO,Guingamp,€1.00m,freetransfer
5083,28356,15/16,"Jan2,2016",Troyes,AngersSCO,€1.50m,freetransfer
5084,270051,17/18,"Aug12,2017",Tombense,FCNantes,€1.00m,€2.30m
5085,270051,17/18,"Aug10,2017",Chapecoense,Tombense,€1.00m,Endofloan
5086,270051,16/17,"Jan1,2017",Tombense,Chapecoense,€1.00m,loantransfer
5087,270051,16/17,"Dec31,2016",KyotoSanga,Tombense,€1.00m,Endofloan
5088,270051,15/16,"Jan1,2016",Tombense,KyotoSanga,€1.00m,Loanfee:€340k
5089,270051,15/16,"Dec31,2015",Palmeiras,Tombense,€1.00m,Endofloan
5090,182875,20/21,"Jul1,2020",StadeBrestois,FCNantes,€2.40m,freetransfer
5091,182875,17/18,"Jul21,2017",ClubBrugge,StadeBrestois,€700k,?
5092,182875,16/17,"Jun30,2017",RedStarFC,ClubBrugge,€700k,Endofloan
5093,182875,16/17,"Jul21,2016",ClubBrugge,RedStarFC,€600k,loantransfer
5094,182875,15/16,"Jun30,2016",Mouscron,ClubBrugge,€700k,Endofloan
5095,182875,15/16,"Feb1,2016",ClubBrugge,Mouscron,€800k,loantransfer
5096,182875,15/16,"Jul23,2015",AJAuxerre,ClubBrugge,€800k,€800k
5097,139279,17/18,"Jul27,2017",G.Bordeaux,FCNantes,€3.50m,€2.00m
5098,807648,19/20,"Jul1,2019",FCNantesU19,FCNantesB,-,-
5099,807648,17/18,"Jul1,2017",FCNantesU17,FCNantesU19,-,-
5100,807648,15/16,"Jul1,2015",NantesYouth,FCNantesU17,-,-
5101,822116,20/21,"Jul1,2020",FCNantesU19,FCNantesB,-,-
5102,650582,20/21,"Jul1,2020",FCNantesU19,FCNantesB,-,-
5103,650582,19/20,"Jul1,2019",FCNantesU17,FCNantesU19,-,-
5104,557613,21/22,"Jul1,2021",FCNantesB,FCNantes,€200k,-
5105,557613,20/21,"Jul1,2020",FCNantesU19,FCNantesB,-,-
5106,557613,19/20,"Jul1,2019",FCNantesU17,FCNantesU19,-,-
5107,557613,18/19,"Jul1,2018",NantesYouth,FCNantesU17,-,-
5108,557613,15/16,"Jul1,2015",PornicFoot,NantesYouth,-,-
5109,394906,18/19,"Aug31,2018",Troyes,FCNantes,€2.00m,€500k
5110,394906,15/16,"Aug29,2015",FCNantesB,Troyes,-,freetransfer
5111,394906,15/16,"Jul7,2015",AzzurriLS,FCNantesB,-,freetransfer
5112,111038,19/20,"Jul1,2019",RSCAnderlecht,FCNantes,€1.50m,€750k
5113,111038,16/17,"Jul1,2016",SMCaen,RSCAnderlecht,€2.50m,€3.00m
5114,61891,18/19,"Jul18,2018",Middlesbrough,FCNantes,€1.50m,€2.00m
5115,61891,16/17,"Aug12,2016",Cardiff,Middlesbrough,€3.00m,€2.30m
5116,102744,20/21,"Oct7,2020",WithoutClub,FCNantes,€1.60m,-
5117,102744,20/21,"Oct5,2020",SevillaFC,WithoutClub,€1.60m,-
5118,102744,19/20,"Jun30,2020",Espanyol,SevillaFC,€1.60m,Endofloan
5119,102744,19/20,"Aug21,2019",SevillaFC,Espanyol,€2.00m,loantransfer
5120,102744,18/19,"Jun30,2019",Benfica,SevillaFC,€2.00m,Endofloan
5121,102744,18/19,"Aug19,2018",SevillaFC,Benfica,€4.00m,Loanfee:€700k
5122,102744,17/18,"Jul13,2017",LOSCLille,SevillaFC,€7.50m,€5.00m
