,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Assists,Penalty goals,market_value
257,93730,2017,26,Ligue 1,Angers SCO,1420,Goalkeeper,False,17,13,1,1,17,1.0,0,0,1000000.0
258,290559,2017,20,Ligue 1,Angers SCO,1420,Goalkeeper,False,7,0,1,0,0,0.0,0,0,100000.0
262,188930,2020,27,Ligue 1,Angers SCO,1420,Goalkeeper,False,1,0,9,0,0,0.0,0,0,700000.0
265,290559,2021,24,Ligue 1,Angers SCO,1420,Goalkeeper,False,26,10,8,2,14,1.2,0,0,1000000.0
266,318507,2021,24,Ligue 1,Angers SCO,1420,Goalkeeper,False,13,13,8,4,19,1.31,0,0,7000000.0
267,19948,2019,37,Premier League,Chelsea FC,631,Goalkeeper,False,38,5,9,1,7,1.6,0,0,600000.0
270,192279,2020,25,Premier League,Chelsea FC,631,Goalkeeper,False,35,7,18,2,8,1.14,0,0,13000000.0
273,52570,2021,33,Premier League,Southampton FC,180,Goalkeeper,False,33,19,8,3,35,1.21,0,0,2000000.0
275,341043,2021,23,Premier League,Southampton FC,180,Goalkeeper,False,4,0,8,0,0,0.0,0,0,200000.0
278,244192,2017,22,Serie A,Atalanta BC,800,Goalkeeper,False,38,7,12,4,4,1.57,0,0,3500000.0
282,126634,2019,28,Serie A,Atalanta BC,800,Goalkeeper,False,38,1,10,0,1,3.0,0,0,100000.0
283,199976,2019,27,Serie A,Atalanta BC,800,Goalkeeper,True,37,6,10,2,5,2.0,0,0,2000000.0
285,126634,2020,29,Serie A,Atalanta BC,800,Goalkeeper,False,38,0,12,0,0,0.0,0,0,100000.0
288,258482,2020,24,Serie A,Atalanta BC,800,Goalkeeper,True,2,0,12,0,0,0.0,0,0,300000.0
291,27490,2020,34,Ligue 1,RC Lens,826,Goalkeeper,False,37,37,10,9,51,1.54,0,0,800000.0
294,27490,2021,35,Ligue 1,RC Lens,826,Goalkeeper,False,34,27,9,6,33,1.41,0,0,500000.0
301,388516,2020,22,Bundesliga,RB Leipzig,23826,Goalkeeper,False,29,1,15,0,2,0.0,0,0,2500000.0
304,388516,2021,23,Bundesliga,RB Leipzig,23826,Goalkeeper,False,34,1,11,0,3,0.0,0,0,2200000.0
308,242359,2018,24,Serie A,Udinese Calcio,410,Goalkeeper,False,37,29,9,7,40,1.21,0,0,10000000.0
311,257474,2017,20,Serie A,Torino FC,416,Goalkeeper,False,33,1,10,0,1,3.0,0,0,2000000.0
313,73090,2021,31,Serie A,US Salernitana 1919,380,Goalkeeper,True,38,23,4,3,49,0.74,0,0,500000.0
316,541282,2021,21,Serie A,US Salernitana 1919,380,Goalkeeper,False,14,0,4,0,0,0.0,0,0,100000.0
317,606614,2021,18,Serie A,US Salernitana 1919,380,Goalkeeper,False,3,0,4,0,0,0.0,0,0,50000.0
320,22141,2018,34,Serie A,AS Roma,12,Goalkeeper,True,35,11,10,6,6,2.0,0,0,800000.0
322,438682,2018,20,Serie A,AS Roma,12,Goalkeeper,False,37,0,10,0,0,0.0,0,0,100000.0
323,22141,2019,35,Serie A,AS Roma,12,Goalkeeper,False,25,5,7,2,5,1.4,0,0,650000.0
327,75458,2020,30,Serie A,AS Roma,12,Goalkeeper,False,1,0,11,0,0,0.0,0,0,3000000.0
328,75458,2020,30,Serie A,AS Roma,12,Goalkeeper,False,1,0,11,0,0,0.0,0,0,3000000.0
330,438682,2020,22,Serie A,AS Roma,12,Goalkeeper,False,22,5,11,2,7,1.4,0,0,800000.0
332,73090,2017,27,Serie A,UC Sampdoria,1038,Goalkeeper,False,13,2,0,0,5,0.0,0,0,1700000.0
333,73090,2018,28,Serie A,UC Sampdoria,1038,Goalkeeper,False,37,0,11,0,0,0.0,0,0,800000.0
334,256339,2018,21,Serie A,UC Sampdoria,1038,Goalkeeper,True,38,36,11,11,51,1.36,0,0,15000000.0
340,238537,2021,26,Serie A,UC Sampdoria,1038,Goalkeeper,False,37,10,9,3,14,0.7,0,0,3000000.0
342,613533,2021,19,Serie A,UC Sampdoria,1038,Goalkeeper,False,3,0,9,0,0,0.0,0,0,100000.0
346,696600,2019,16,Ligue 1,Olympique Marseille,244,Goalkeeper,False,1,0,12,0,0,0.0,0,0,150000.0
348,696600,2020,17,Ligue 1,Olympique Marseille,244,Goalkeeper,False,8,0,8,0,0,0.0,0,0,150000.0
350,23951,2021,36,Ligue 1,Olympique Marseille,244,Goalkeeper,False,37,9,15,5,7,2.22,0,0,1500000.0
353,801577,2021,18,Ligue 1,Olympique Marseille,244,Goalkeeper,False,1,0,15,0,0,0.0,0,0,150000.0
356,23974,2019,34,Ligue 1,Stade Rennais FC,273,Goalkeeper,False,26,4,10,1,5,1.5,0,0,200000.0
360,57134,2020,31,Ligue 1,FC Lorient,1158,Goalkeeper,False,38,15,5,2,25,1.33,0,0,600000.0
363,57134,2021,32,Ligue 1,FC Lorient,1158,Goalkeeper,False,38,16,11,7,25,1.19,0,0,300000.0
367,163568,2020,26,Ligue 1,Stade Rennais FC,273,Goalkeeper,True,26,22,10,5,25,1.18,0,0,7000000.0
369,685086,2020,17,Ligue 1,Stade Rennais FC,273,Goalkeeper,False,13,0,10,0,0,0.0,0,0,500000.0
