,player_id,market_value_y,main_position,club full name,Score,Score_Rank,market_value_Rank
2969,181380,7000000.0,Defender Left Back,West Ham United,20.060000000000002,2306.5,5474.0
3530,214056,7000000.0,Defender Centre Back,Leicester City,20.05,2312.0,5474.0
4830,300168,3000000.0,midfield Defensive Midfield,Athletic Bilbao,20.03,2322.0,3757.0
368,37834,5000000.0,Attack Centre Forward,Genoa CFC,20.009999999999998,2325.0,4807.5
6490,448632,500000.0,Goalkeeper,Stade Reims,20.0,2329.5,1308.0
4501,284430,1000000.0,Goalkeeper,Granada CF,20.0,2329.5,2072.5
537,44420,6000000.0,Defender Left Back,SS Lazio,19.8,2358.0,5158.5
1173,73090,1700000.0,Goalkeeper,US Salernitana 1919,19.740000000000002,2365.0,2778.0
3889,240414,600000.0,Goalkeeper,SSC Napoli,19.72,2371.0,1457.5
2517,147485,3200000.0,midfield Attacking Midfield,1.FC Köln,19.68,2372.5,3947.0
3283,197473,7000000.0,midfield Central Midfield,Cagliari Calcio,19.66,2375.0,5474.0
7724,631002,500000.0,Attack Centre Forward,Betis Deportivo Balompié,19.61,2381.0,1308.0
3216,193900,6500000.0,Defender Right Back,Borussia Dortmund,19.6,2383.0,5330.0
2939,178313,4000000.0,midfield Defensive Midfield,RC Strasbourg Alsace,19.52,2386.5,4335.5
2783,168543,6500000.0,midfield Central Midfield,1.FC Union Berlin,19.39,2391.5,5330.0
8116,739769,4500000.0,midfield Attacking Midfield,Stade Reims,19.32,2402.0,4554.5
3467,206912,2500000.0,midfield Right Midfield,Angers SCO,19.21,2416.5,3398.0
4954,315283,2700000.0,Attack Centre Forward,Heracles Almelo,19.17,2428.0,3533.0
7226,566936,500000.0,Attack Left Winger,Napoli Primavera,19.17,2428.0,1308.0
7870,668041,100000.0,Attack Centre Forward,Atlético Levante UD,19.14,2434.0,168.5
4432,282028,800000.0,Goalkeeper,FC Nantes,19.0,2449.0,1732.0
2686,163086,3000000.0,Defender Centre Back,Red Star Belgrade,19.0,2449.0,3757.0
1322,79967,2750000.0,Attack Centre Forward,VfL Bochum,19.0,2449.0,3540.0
6398,432092,4000000.0,Attack Centre Forward,Atalanta BC,19.0,2449.0,4335.5
6181,408471,1000000.0,Attack Left Winger,RCD Espanyol Barcelona,18.93,2462.5,2072.5
7816,650104,250000.0,midfield Defensive Midfield,Angers SCO B,18.86,2469.0,733.0
2974,181547,6000000.0,Attack Centre Forward,Eintracht Frankfurt,18.83,2473.0,5158.5
5503,350364,1600000.0,Defender Right Back,PAOK Thessaloniki,18.82,2475.5,2743.5
92,18909,2500000.0,Attack Centre Forward,FC Girondins Bordeaux,18.759999999999998,2480.0,3398.0
3214,193867,2800000.0,midfield Central Midfield,FC Empoli,18.58,2499.5,3567.0
3927,242273,3200000.0,midfield Defensive Midfield,FC Nantes,18.52,2507.5,3947.0
5853,379869,1200000.0,Goalkeeper,Clermont Foot 63,18.43,2519.0,2309.0
1854,111347,7000000.0,Defender Centre Back,FC Empoli,18.42,2522.0,5474.0
