Unnamed: 0,player_id,Season,Date,Left,Joined,MV,Fee
1725,421726,20/21,"Jun30,2021",UnionBerlin,YokohamaF.M.,€1.30m,Endofloan
1726,421726,20/21,"Jul27,2020",YokohamaF.M.,UnionBerlin,€1.30m,loantransfer
1727,421726,15/16,"Feb1,2016",F.MarinosU18,YokohamaF.M.,-,-
1728,188888,19/20,"Jul1,2019",ADODenHaag,UnionBerlin,€1.25m,freetransfer
1729,188888,16/17,"Aug21,2016",Ajax,ADODenHaag,€800k,€200k
1730,188888,15/16,"Jun30,2016",PECZwolle,Ajax,€700k,Endofloan
1731,295313,21/22,"Jul20,2021",Liverpool,UnionBerlin,€5.00m,€8.55m
1732,295313,20/21,"Jun30,2021",UnionBerlin,Liverpool,€5.00m,Endofloan
1733,295313,20/21,"Sep19,2020",Liverpool,UnionBerlin,€3.20m,loantransfer
1734,295313,19/20,"Jun30,2020",1.FSVMainz05,Liverpool,€3.20m,Endofloan
1735,295313,19/20,"Aug8,2019",Liverpool,1.FSVMainz05,€4.50m,Loanfee:€500k
1736,295313,18/19,"Jun30,2019",Mouscron,Liverpool,€4.50m,Endofloan
1737,295313,18/19,"Jan12,2019",Liverpool,Mouscron,€1.50m,loantransfer
1738,295313,18/19,"Jan11,2019",KAAGent,Liverpool,€1.50m,Endofloan
1739,295313,18/19,"Jul23,2018",Liverpool,KAAGent,€1.50m,loantransfer
1740,295313,17/18,"Jun30,2018",Mouscron,Liverpool,€1.50m,Endofloan
1741,295313,17/18,"Jul31,2017",Liverpool,Mouscron,€400k,loantransfer
1742,295313,16/17,"Jun30,2017",NECNijmegen,Liverpool,€400k,Endofloan
1743,295313,16/17,"Aug26,2016",Liverpool,NECNijmegen,€300k,loantransfer
1744,295313,15/16,"Jun30,2016",FSVFrankfurt,Liverpool,€300k,Endofloan
1745,295313,15/16,"Sep1,2015",Liverpool,FSVFrankfurt,-,loantransfer
1746,295313,15/16,"Aug31,2015",ImperialAcad.,Liverpool,-,€1.10m
1747,94771,21/22,"Jul1,2021",Arm.Bielefeld,UnionBerlin,€1.70m,freetransfer
1748,94771,15/16,"Jan20,2016",1.FCHeidenheim,Arm.Bielefeld,€400k,freetransfer
1749,186988,21/22,"Jan31,2022",SCPaderborn,UnionBerlin,€800k,€2.50m
1750,186988,16/17,"Jul1,2016",EnergieCottbus,SCPaderborn,€350k,freetransfer
1751,207597,21/22,"Jan2,2022",UnionBerlin,Hannover96,€1.50m,?
