player_id,season,discription,Return_date
102258,2017,Joining,"Jul 1, 2023"
108725,2017,Injury,"Jul 3, 2023"
42412,2017,Injury,Unknown
61832,2017,Joining,"Jul 1, 2023"
66219,2017,Joining,"Jul 1, 2023"
177476,2017,Injury,"Jun 7, 2023"
223047,2017,Injury,Unknown
495441,2017,Joining,"Jul 1, 2023"
57842,2017,Injury,"Jun 30, 2023"
90583,2017,Injury,unknown
203853,2018,Injury,"Jun 4, 2023"
345654,2018,Returned,-
222813,2018,Returned,-
143424,2018,Joining,"Jul 1, 2023"
131789,2018,Joining,"Jul 1, 2023"
406560,2018,Injury,Unknown
181778,2018,Returned,-
225083,2018,Injury,"May 29, 2023"
179184,2018,Returned,-
282823,2018,Returned,-
207929,2018,Injury,"Jun 12, 2023"
117996,2018,Joining,"Jul 1, 2023"
315969,2018,Injury,Unknown
122153,2018,Injury,"Jun 20, 2023"
99343,2018,Injury,Unknown
203394,2018,Returned,-
182877,2018,Returned,-
73396,2018,Injury,Unknown
415912,2018,Returned,-
126321,2018,Red card suspension,-
160438,2018,Injury,Unknown
293726,2018,Injury,unknown
340329,2018,Injury,Unknown
93905,2018,Injury,unknown
126665,2018,transfer,-
92571,2018,Red card suspension,-
223047,2018,Injury,Unknown
562254,2018,Injury,unknown
40611,2018,Injury,unknown
226968,2018,Injury,unknown
28973,2018,Injury,"Jul 31, 2023"
142310,2018,Injury,"May 28, 2023"
204103,2018,Returned,-
74300,2018,Joining,"Jul 1, 2023"
61842,2018,Injury,Unknown
145466,2018,Injury,"May 29, 2023"
354361,2018,Returned,-
183318,2018,Injury,"May 31, 2023"
80197,2018,Red card suspension,"Jun 9, 2023"
453575,2018,Returned,-
295331,2018,Injury,"May 31, 2023"
102258,2018,Joining,"Jul 1, 2023"
63200,2018,Joining,"Jul 1, 2023"
119269,2018,Returned,-
367284,2018,Returned,-
410425,2018,Injury,unknown
177065,2018,Returned,-
495441,2018,Joining,"Jul 1, 2023"
57842,2018,Injury,"Jun 30, 2023"
55125,2018,Injury,"Jun 26, 2023"
566349,2018,Joining,"Jul 1, 2023"
371021,2019,Returned,-
426666,2019,Returned,-
503680,2019,Injury,"Jun 30, 2023"
242273,2019,Injury,unknown
3333,2019,Joining,"Jul 1, 2023"
131789,2019,Joining,"Jul 1, 2023"
406560,2019,Injury,Unknown
181778,2019,Returned,-
472423,2019,Injury,"May 31, 2023"
504148,2019,Injury,"May 31, 2023"
225083,2019,Injury,"May 29, 2023"
51471,2019,Injury,unknown
346483,2019,Injury,"May 31, 2023"
179184,2019,Returned,-
571743,2019,Internal transfer,-
122153,2019,Injury,"Jun 20, 2023"
415912,2019,Returned,-
191217,2019,Returned,-
