,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
1947,389837,Nicolò Casale,"['Feb', '14', '1998']",191.0,Italy,Defender Centre Back,right,Lazio,6,4,nan,nan,216,M.A.R.A.T. Football ...
1948,115763,Koray Günter,"['Aug', '16', '1994']",186.0,Germany,Defender Centre Back,right,Sampdoria,6,4,nan,nan,277,EMG Mundial
1949,248732,Pawel Dawidowicz,"['May', '20', '1995']",189.0,Poland,Defender Centre Back,both,Hellas Verona,7,4,nan,nan,271,INNfootball
1950,163639,Federico Ceccherini,"['May', '11', '1992']",187.0,Italy,Defender Centre Back,right,Hellas Verona,11,2,nan,nan,369,P&P Sport ...
1951,310458,Giangiacomo Magnani,"['Oct', '4', '1995']",191.0,Italy,Defender Centre Back,right,Hellas Verona,5,5,nan,nan,201,TMP SOCCER srl
1952,324351,Panagiotis Retsos,"['Aug', '9', '1998']",186.0,Greece,Defender Centre Back,right,Olympiacos,4,3,nan,nan,145,LIAN Sports Group
1953,644676,Bruno Amione,"['Jan', '3', '2002']",187.0,Argentina,Defender Centre Back,left,Sampdoria,1,1,nan,nan,61,Estilo 10
1954,391498,Mert Cetin,"['Jan', '1', '1997']",189.0,Turkey,Defender Centre Back,right,Adana Demirspor,3,-,nan,nan,101,MAC Management
1955,660860,Diego Coppola,"['Dec', '28', '2003']",192.0,Italy,Defender Centre Back,right,Hellas Verona,5,1,nan,nan,83,CAA Base Ltd
1956,386755,Gianluca Frabotta,"['Jun', '24', '1999']",187.0,Italy,Defender Left Back,left,Frosinone,5,8,nan,nan,185,Vigo Global Sport ...
1957,73926,Davide Faraoni,"['Oct', '25', '1991']",180.0,Italy,Defender Right Back,right,Hellas Verona,30,38,nan,nan,408,M.A.R.A.T. Football ...
1958,324282,Fabio Depaoli,"['Apr', '24', '1997']",182.0,Italy,Defender Right Back,right,Hellas Verona,12,16,nan,nan,245,CAA Base Ltd
1959,290032,Kevin Rüegg,"['Aug', '5', '1998']",173.0,Switzerland,Defender Right Back,right,BSC Young Boys,7,18,nan,nan,196,SBE Management AG
1960,157507,Adrien Tamèze,"['Feb', '4', '1994']",180.0,Cameroon,midfield Defensive Midfield,right,Hellas Verona,8,9,nan,nan,271,Pedacus
1961,398808,Martin Hongla,"['Mar', '16', '1998']",181.0,Cameroon,midfield Defensive Midfield,right,Real Valladolid,9,5,nan,nan,171,YOU FIRST
