,player_id,Season,Date,Left,Joined,MV,Fee
380,379632,16/17,"Jan19,2017",Racing,ArenasClub,€50k,loantransfer
381,379632,16/17,"Aug13,2016",RayoCantabria,Racing,-,-
382,379632,15/16,"Jul1,2015",RacingU19,RayoCantabria,-,-
383,935456,21/22,"Jul1,2021",Atl.MadleñoU18,Atl.MadridU19,-,-
384,935456,20/21,"Jul1,2020",Atl.MadridU17,Atl.MadleñoU18,-,-
385,127189,20/21,"Nov3,2020",Valencia,AtléticoMadrid,€17.50m,€15.00m
386,127189,18/19,"Jul1,2018",Inter,Valencia,€30.00m,€22.00m
387,127189,17/18,"Jun30,2018",Valencia,Inter,€30.00m,Endofloan
388,127189,17/18,"Aug21,2017",Inter,Valencia,€18.00m,loantransfer
389,127189,15/16,"Jul1,2015",Monaco,Inter,€16.00m,€36.00m
390,282411,19/20,"Jul1,2019",RealMadrid,AtléticoMadrid,€20.00m,€30.00m
391,282411,16/17,"Jun30,2017",Alavés,RealMadrid,€15.00m,Endofloan
392,282411,16/17,"Aug10,2016",RealMadrid,Alavés,€800k,loantransfer
393,282411,16/17,"Jul1,2016",RMCastilla,RealMadrid,-,-
394,255901,21/22,"Jul12,2021",UdineseCalcio,AtléticoMadrid,€38.00m,€35.00m
395,255901,16/17,"Jul20,2016",Valencia,UdineseCalcio,€2.50m,€10.00m
396,255901,15/16,"Jun30,2016",RacingClub,Valencia,€4.50m,Endofloan
397,255901,15/16,"Feb4,2016",Valencia,RacingClub,€5.00m,loantransfer
398,148928,21/22,"Jun30,2022",Chelsea,AtléticoMadrid,€25.00m,Endofloan
399,148928,21/22,"Aug31,2021",AtléticoMadrid,Chelsea,€40.00m,Loanfee:€5.00m
400,122043,19/20,"Jul3,2019",FCPorto,AtléticoMadrid,€22.00m,freetransfer
401,668177,21/22,"Jul1,2021",Atl.MadridU19,Atl.MadridB,-,-
402,668177,20/21,"Jul1,2020",Atl.MadleñoU18,Atl.MadridU19,-,-
403,668177,19/20,"Jul1,2019",AtlétiYouth,Atl.MadleñoU18,-,-
404,568149,21/22,"Jul1,2021",Atl.MadridU19,Atl.MadridB,-,-
405,568149,20/21,"Jul1,2020",Atl.MadleñoU18,Atl.MadridU19,-,-
406,568149,19/20,"Jul1,2019",Atl.MadridU17,Atl.MadleñoU18,-,-
407,775605,21/22,"Jul1,2021",Atl.MadleñoU18,Atl.MadridU19,-,-
408,775605,20/21,"Jul1,2020",Atl.MadridU17,Atl.MadleñoU18,-,-
409,775605,17/18,"Jul1,2017",R.MadridYth.,AtlétiYouth,-,?
410,205562,18/19,"Jul1,2018",Monaco,AtléticoMadrid,€65.00m,€72.00m
411,205562,15/16,"Jul1,2015",SMCaen,Monaco,€1.25m,€4.00m
412,140776,20/21,"Sep8,2020",DLPro,AtléticoMadrid,€22.50m,€27.00m
413,140776,19/20,"Aug24,2020",AtléticoMadrid,DLPro,€22.50m,Endofloan
414,140776,19/20,"Jan31,2020",DLPro,AtléticoMadrid,€28.00m,loantransfer
415,140776,17/18,"Feb26,2018",AtléticoMadrid,DLYifang,€40.00m,€30.00m
416,140776,15/16,"Jul10,2015",Monaco,AtléticoMadrid,€9.00m,€15.00m
417,462250,19/20,"Jul3,2019",Benfica,AtléticoMadrid,€70.00m,€127.20m
418,462250,18/19,"Jul1,2018",BenficaB,Benfica,€2.00m,-
419,462250,17/18,"Dec1,2017",BenficaU19,BenficaB,€500k,-
420,462250,16/17,"Sep29,2016",BenficaU17,BenficaU19,-,-
421,462250,15/16,"Jul1,2015",PadroenseU17,BenficaU17,-,freetransfer
422,517894,21/22,"Aug25,2021",HerthaBSC,AtléticoMadrid,€30.00m,€30.00m
423,517894,19/20,"Jan31,2020",RBLeipzig,HerthaBSC,€13.00m,€18.00m
424,517894,18/19,"Jul1,2018",FCSion,RBLeipzig,€1.50m,€15.00m
425,517894,17/18,"Jul1,2017",CoritibaFCU20,FCSion,-,?
426,44352,20/21,"Jul1,2020",Barcelona,AtléticoMadrid,€28.00m,€9.00m
427,505674,21/22,"Jun30,2022",CDMirandés,AtléticoMadrid,€3.00m,Endofloan
428,505674,21/22,"Aug31,2021",AtléticoMadrid,CDMirandés,€2.30m,loantransfer
429,505674,21/22,"Jul1,2021",Atl.MadridB,AtléticoMadrid,€2.30m,-
430,505674,18/19,"Mar25,2019",Atl.MadridU19,Atl.MadridB,-,-
431,505674,18/19,"Jul1,2018",Atl.MadleñoU18,Atl.MadridU19,-,-
432,505674,17/18,"Jul1,2017",Atl.MadridU17,Atl.MadleñoU18,-,-
433,274347,21/22,"Jan22,2022",AtléticoMadrid,Slo.Bratislava,€800k,freetransfer
434,274347,20/21,"Jun30,2021",CádizCF,AtléticoMadrid,€1.20m,Endofloan
435,274347,20/21,"Jan22,2021",AtléticoMadrid,CádizCF,€1.20m,loantransfer
436,274347,19/20,"Jul8,2019",BenficaB,AtléticoMadrid,€900k,€500k
437,274347,17/18,"Jun30,2018",ZulteWaregem,BenficaB,€1.00m,Endofloan
438,274347,17/18,"Jul3,2017",BenficaB,ZulteWaregem,€1.00m,loantransfer
439,274347,15/16,"Jan12,2016",Partizan,BenficaB,€1.30m,€3.00m
440,742201,20/21,"Jan1,2021",Atl.MadridU19,Atl.MadridB,-,-
441,742201,20/21,"Sep3,2020",RiverPlateU20,Atl.MadridU19,-,freetransfer
442,618813,21/22,"Jul1,2021",Atl.MadridU19,Atl.MadridB,-,-
443,618813,20/21,"Jul1,2020",Atl.MadleñoU18,Atl.MadridU19,-,-
444,618813,19/20,"Jul1,2019",Atl.MadridU17,Atl.MadleñoU18,-,-
445,229604,20/21,"Sep4,2020",RealSociedad,Villarreal,€8.00m,€5.00m
446,229604,19/20,"Jun30,2020",Montpellier,RealSociedad,€8.00m,Endofloan
447,229604,19/20,"Aug14,2019",RealSociedad,Montpellier,€10.00m,Loanfee:€1.50m
448,229604,16/17,"Jan1,2017",ManCity,RealSociedad,€8.00m,€7.00m
449,229604,16/17,"Dec31,2016",RealSociedad,ManCity,€8.00m,Endofloan
450,229604,16/17,"Aug9,2016",ManCity,RealSociedad,€8.00m,loantransfer
451,229604,16/17,"Aug8,2016",Maldonado,ManCity,€8.00m,€4.70m
452,229604,15/16,"Jun30,2016",RealSociedad,Maldonado,€6.00m,Endofloan
453,547248,21/22,"Jul1,2021",FCVillarrealC,VillarrealCFB,€50k,-
454,547248,19/20,"Jul1,2019",RodaU19,FCVillarrealC,-,-
455,547248,17/18,"Jul1,2017",G.ManresaYth.,RodaU19,-,?
456,585323,20/21,"Sep1,2020",FCVillarrealC,VillarrealCFB,-,-
457,585323,20/21,"Jul1,2020",VillarrealU19,FCVillarrealC,-,-
458,585323,19/20,"Jul1,2019",VillarrealYth.,VillarrealU19,-,-
459,585323,15/16,"Jul1,2015",RCDMallorcaYo,VillarrealYth.,-,?
460,399776,18/19,"Jun30,2019",MálagaCF,Villarreal,€4.00m,Endofloan
461,399776,18/19,"Aug6,2018",Villarreal,MálagaCF,€500k,loantransfer
462,399776,18/19,"Jul1,2018",VillarrealCFB,Villarreal,€500k,-
463,399776,16/17,"Jul1,2016",VillarrealU19,VillarrealCFB,-,-
464,494880,21/22,"Jun30,2022",Getafe,Villarreal,€8.00m,Endofloan
465,494880,21/22,"Aug30,2021",Villarreal,Getafe,€6.00m,loantransfer
466,494880,20/21,"Jun30,2021",UDAlmería,Villarreal,€6.00m,Endofloan
467,494880,20/21,"Sep22,2020",Villarreal,UDAlmería,€2.30m,loantransfer
468,494880,20/21,"Sep21,2020",BarcelonaB,Villarreal,€2.30m,€2.50m
469,494880,17/18,"Jul18,2017",ADAlcorcónB,BarcelonaB,-,€400k
470,494880,16/17,"Feb1,2017",AlcorcónU19,ADAlcorcónB,-,-
471,494880,15/16,"Jul1,2015",ADAlcorcónYou,AlcorcónU19,-,-
472,80293,21/22,"Jul1,2021",RealBetis,Villarreal,€8.00m,freetransfer
473,80293,16/17,"Jul1,2016",StadeReims,RealBetis,€4.50m,€2.80m
474,15452,19/20,"Jul4,2019",SSCNapoli,Villarreal,€5.00m,€4.00m
475,341263,20/21,"Sep12,2020",RMCastilla,VillarrealCFB,€250k,freetransfer
