Unnamed: 0,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
128,215099,Daley Sinkgraven,"['Jul', '4', '1995']",179.0,Netherlands,Defender Left Back,left,15.0,9,27,player has no goal conceded,player has no clean sheets,248,V4S
129,484547,Jeremie Frimpong,"['Dec', '10', '2000']",171.0,Netherlands,Defender Right Back,right,15.0,17,35,player has no goal conceded,player has no clean sheets,214,Prolific Sports ...
130,315131,Timothy Fosu-Mensah,"['Jan', '2', '1998']",185.0,Netherlands,Defender Right Back,right,15.0,1,3,player has no goal conceded,player has no clean sheets,119,CAA Base Ltd
131,119211,Mitchell Weiser,"['Apr', '21', '1994']",177.0,Germany,Defender Right Back,right,86.0,44,77,player has no goal conceded,player has no clean sheets,356,ROOF
132,159088,Robert Andrich,"['Sep', '22', '1994']",187.0,Germany,midfield Defensive Midfield,right,15.0,55,26,player has no goal conceded,player has no clean sheets,361,teamplayer ...
133,34787,Julian Baumgartlinger,"['Jan', '2', '1988']",184.0,Austria,midfield Defensive Midfield,right,167.0,21,29,player has no goal conceded,player has no clean sheets,477,PRO Profil GmbH
134,125858,Kerem Demirbay,"['Jul', '3', '1993']",183.0,Germany,midfield Central Midfield,left,15.0,66,77,player has no goal conceded,player has no clean sheets,394,EMG Mundial
135,401578,Exequiel Palacios,"['Oct', '5', '1998']",177.0,Argentina,midfield Central Midfield,right,15.0,18,16,player has no goal conceded,player has no clean sheets,173,Eleven Talent Group
136,232454,Nadiem Amiri,"['Oct', '27', '1996']",180.0,Germany,midfield Central Midfield,right,15.0,36,40,player has no goal conceded,player has no clean sheets,336,
137,89701,Charles Aránguiz,"['Apr', '17', '1989']",171.0,Chile,midfield Central Midfield,right,6600.0,54,72,player has no goal conceded,player has no clean sheets,449,Fernando Felicevich
138,788445,Zidan Sertdemir,"['Feb', '4', '2005']",182.0,Denmark,midfield Central Midfield,left,2778.0,13,5,player has no goal conceded,player has no clean sheets,54,Relatives
139,598577,Florian Wirtz,"['May', '3', '2003']",176.0,Germany,midfield Attacking Midfield,right,15.0,37,36,player has no goal conceded,player has no clean sheets,131,Relatives
140,532776,Amine Adli,"['May', '10', '2000']",174.0,France,Attack Left Winger,left,15.0,19,18,player has no goal conceded,player has no clean sheets,116,Concept Sport Agency
141,428791,Paulinho,"['Jul', '15', '2000']",177.0,Brazil,Attack Left Winger,right,330.0,27,13,player has no goal conceded,player has no clean sheets,129,Carlos Leite
142,395516,Moussa Diaby,"['Jul', '7', '1999']",170.0,France,Attack Right Winger,left,15.0,60,61,player has no goal conceded,player has no clean sheets,239,AIS SPORT SERVICE
143,61087,Karim Bellarabi,"['Apr', '8', '1990']",184.0,Germany,Attack Right Winger,right,15.0,87,89,player has no goal conceded,player has no clean sheets,414,KL Sportsbase
144,242086,Patrik Schick,"['Jan', '24', '1996']",191.0,Czech Republic,Attack Centre Forward,left,15.0,81,19,player has no goal conceded,player has no clean sheets,251,Int. Sport ...
145,180337,Sardar Azmoun,"['Jan', '1', '1995']",186.0,Iran,Attack Centre Forward,both,15.0,115,48,player has no goal conceded,player has no clean sheets,316,Epic Sports
146,193782,Lucas Alario,"['Oct', '8', '1992']",185.0,Argentina,Attack Centre Forward,right,24.0,107,30,player has no goal conceded,player has no clean sheets,318,Pedro Aldave Ortuzar
147,173491,Joel Pohjanpalo,"['Sep', '13', '1994']",186.0,Finland,Attack Centre Forward,right,607.0,100,20,player has no goal conceded,player has no clean sheets,285,Dirk Hebel
148,580276,Emrehan Gedikli,"['Apr', '25', '2003']",187.0,Turkey,Attack Centre Forward,right,541.0,57,1,player has no goal conceded,player has no clean sheets,63,Sports eXcellence ...
149,741292,Iker Bravo,"['Jan', '13', '2005']",184.0,Spain,Attack Centre Forward,right,6767.0,15,6,player has no goal conceded,player has no clean sheets,44,Phsport
150,108880,Koen Casteels,"['Jun', '25', '1992']",197.0,Belgium,Goalkeeper,left,82.0,-,keeper has no goal assisted,454,104,330,Relatives
151,51977,Pavao Pervan,"['Nov', '13', '1987']",194.0,Austria,Goalkeeper,both,82.0,-,keeper has no goal assisted,364,112,320,ROOF
152,574203,Philipp Schulze,"['Jan', '29', '2003']",190.0,Germany,Goalkeeper,,82.0,1,keeper has no goal assisted,80,17,66,PRO Profil GmbH
153,192268,Niklas Klinger,"['Oct', '13', '1995']",187.0,Germany,Goalkeeper,right,82.0,-,keeper has no goal assisted,102,33,97,TPWE GmbH
154,434224,Maxence Lacroix,"['Apr', '6', '2000']",190.0,France,Defender Centre Back,right,82.0,3,1,player has no goal conceded,player has no clean sheets,126,Hexagon
155,338629,Sebastiaan Bornauw,"['Mar', '22', '1999']",191.0,Belgium,Defender Centre Back,right,82.0,10,5,player has no goal conceded,player has no clean sheets,150,CAA Stellar
156,124732,John Anthony Brooks,"['Jan', '28', '1993']",194.0,United States,Defender Centre Back,left,533.0,28,11,player has no goal conceded,player has no clean sheets,387,ROGON
157,557459,Micky van de Ven,"['Apr', '19', '2001']",193.0,Netherlands,Defender Centre Back,left,82.0,5,8,player has no goal conceded,player has no clean sheets,129,Team Raiola
158,631904,Anselmo García MacNulty,"['Feb', '19', '2003']",,Ireland,Defender Centre Back,left,132.0,5,2,player has no goal conceded,player has no clean sheets,73,LEADERBROCK
159,221611,Paulo Otávio,"['Nov', '23', '1994']",173.0,Brazil,Defender Left Back,left,82.0,3,20,player has no goal conceded,player has no clean sheets,148,TFM Agency
160,127076,Jérôme Roussillon,"['Jan', '6', '1993']",172.0,Guadeloupe,Defender Left Back,left,89.0,12,23,player has no goal conceded,player has no clean sheets,302,Only Pro Sport
161,327251,Ridle Baku,"['Apr', '8', '1998']",176.0,Germany,Defender Right Back,right,82.0,41,29,player has no goal conceded,player has no clean sheets,265,AKA Global GmbH
162,183321,Kevin Mbabu,"['Apr', '19', '1995']",184.0,Switzerland,Defender Right Back,right,61.0,10,26,player has no goal conceded,player has no clean sheets,266,Soccer Mondial AG
163,341710,William,"['Apr', '3', '1995']",176.0,Brazil,Defender Right Back,right,609.0,6,15,player has no goal conceded,player has no clean sheets,174,
164,472234,Jannis Lang,"['Jul', '12', '2002']",188.0,Germany,Defender Right Back,right,584.0,7,5,player has no goal conceded,player has no clean sheets,78,TrueSports GmbH
165,93704,Josuha Guilavogui,"['Sep', '19', '1990']",188.0,France,midfield Defensive Midfield,right,82.0,22,14,player has no goal conceded,player has no clean sheets,407,Relatives
166,223979,Xaver Schlager,"['Sep', '28', '1997']",174.0,Austria,midfield Central Midfield,left,23826.0,29,38,player has no goal conceded,player has no clean sheets,292,ROOF
167,117674,Maximilian Arnold,"['May', '27', '1994', 'Happy', 'Birthday']",184.0,Germany,midfield Central Midfield,left,82.0,79,70,player has no goal conceded,player has no clean sheets,490,Karl M. Herzog ...
168,503881,Aster Vranckx,"['Oct', '4', '2002']",183.0,Belgium,midfield Central Midfield,right,5.0,7,5,player has no goal conceded,player has no clean sheets,86,DW Sports Management
169,119277,Yannick Gerhardt,"['Mar', '13', '1994']",184.0,Germany,midfield Central Midfield,left,82.0,42,47,player has no goal conceded,player has no clean sheets,369,Stephan Engels
170,690222,Gil-Linnart Walther,"['Mar', '14', '2003']",,Germany,midfield Central Midfield,,515.0,1,1,player has no goal conceded,player has no clean sheets,18,
171,711517,Kevin Paredes,"['May', '7', '2003']",170.0,United States,midfield Left Midfield,left,82.0,4,8,player has no goal conceded,player has no clean sheets,71,
172,406640,Felix Nmecha,"['Oct', '10', '2000']",190.0,Germany,midfield Attacking Midfield,right,82.0,30,22,player has no goal conceded,player has no clean sheets,139,
173,293169,Josip Brekalo,"['Jun', '23', '1998']",175.0,Croatia,Attack Left Winger,right,430.0,36,24,player has no goal conceded,player has no clean sheets,228,Niagara Sports ...
174,303259,Dodi Lukébakio,"['Sep', '24', '1997']",187.0,Belgium,Attack Right Winger,left,44.0,49,34,player has no goal conceded,player has no clean sheets,212,BoostMySport
175,194638,Renato Steffen,"['Nov', '3', '1991']",170.0,Switzerland,Attack Right Winger,left,2790.0,83,67,player has no goal conceded,player has no clean sheets,451,Kögl & Partner GmbH
176,196095,Luca Waldschmidt,"['May', '19', '1996']",181.0,Germany,Attack Second Striker,left,82.0,90,25,player has no goal conceded,player has no clean sheets,270,Sports360 GmbH
177,143891,Maximilian Philipp,"['Mar', '1', '1994']",183.0,Germany,Attack Second Striker,right,86.0,98,58,player has no goal conceded,player has no clean sheets,348,Unique Sports Group
