,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
224,420064,Caio Henrique,"['Jul', '31', '1997']",178,Brazil  Spain,Defender Left Back,left,AS Monaco,4,34,,,209,D20 Sports
225,375137,Ismail Jakobs,"['Aug', '17', '1999']",184,Senegal  Germany,Defender Left Back,left,AS Monaco,10,15,,,198,Dirk Hebel
226,536510,Louis Torres,"['Apr', '29', '2001']",182,France  Spain,Defender Left Back,left,Rodez AF,3,3,,,47,Just 4 player Group
227,789082,Vanderson,"['Jun', '21', '2001']",173,Brazil,Defender Right Back,right,AS Monaco,8,12,,,118,Bertolucci Sports
228,203746,Ruben Aguilar,"['Apr', '26', '1993']",170,France  Spain,Defender Right Back,right,AS Monaco,5,22,,,286,One Team Football
229,161869,Djibril Sidibé,"['Jul', '29', '1992']",183,France  Mali,Defender Right Back,right,AEK Athens,18,40,,,383,
230,745201,Aurélien Platret,"['Feb', '20', '2003']",,France,Defender Right Back,right,AS Monaco U21,-,3,,,20,Sport Profile
231,413112,Aurélien Tchouaméni,"['Jan', '27', '2000']",188,France  Cameroon,midfield Defensive Midfield,right,Real Madrid,9,12,,,180,ESN
232,99189,Pelé,"['Sep', '29', '1991']",182,Guinea-Bissau  Portugal,midfield Defensive Midfield,right,FC Famalicão,21,10,,,280,Ulisses Santos - ...
233,745181,Soungoutou Magassa,"['Oct', '8', '2003']",188,France  Mali,midfield Defensive Midfield,right,AS Monaco,1,-,,,25,Relatives
234,569598,Youssouf Fofana,"['Jan', '10', '1999']",185,France  Mali,midfield Central Midfield,right,AS Monaco,7,12,,,179,AIS SPORT SERVICE
235,578872,Jean Lucas,"['Jun', '22', '1998']",179,Brazil,midfield Central Midfield,right,AS Monaco,5,7,,,117,Relatives
236,535834,Eliot Matazo,"['Feb', '15', '2002']",170,Belgium  DR Congo,midfield Central Midfield,right,AS Monaco,3,2,,,86,Classico
237,8806,Cesc Fàbregas,"['May', '4', '1987']",179,Spain,midfield Central Midfield,right,Como 1907,125,217,,,739,Darren Dein
238,659518,Félix Lemaréchal,"['Aug', '7', '2003']",180,France  Cote d'Ivoire,midfield Central Midfield,right,Stade Brestois 29,2,2,,,33,2SAgency
239,504084,Tiago Ribeiro,"['Mar', '14', '2002']",183,Portugal,midfield Central Midfield,left,FC Paços de Ferreira,8,5,,,50,Gestifute
240,538968,Florian Baranik,"['Feb', '2', '2002']",,France  Réunion,midfield Central Midfield,right,AS Monaco U21,1,-,,,19,Sport Profile
241,263918,Aleksandr Golovin,"['May', '30', '1996']",178,Russia,midfield Attacking Midfield,right,AS Monaco,43,49,,,334,
242,745200,Maghnes Akliouche,"['Feb', '25', '2002']",183,France  Algeria,midfield Attacking Midfield,left,AS Monaco,4,4,,,40,DW Sports Management
243,569389,Sofiane Diop,"['Jun', '9', '2000']",175,France  Senegal,Attack Left Winger,right,OGC Nice,24,15,,,170,Classico
244,257448,Gelson Martins,"['May', '11', '1995']",170,Portugal  Cape Verde,Attack Right Winger,right,AS Monaco,50,54,,,321,Ulisses Santos - ...
245,490426,Krépin Diatta,"['Feb', '25', '1999']",175,Senegal,Attack Right Winger,right,AS Monaco,36,25,,,192,Wasserman
246,511401,Anthony Musaba,"['Dec', '6', '2000']",182,Netherlands  DR Congo,Attack Right Winger,both,NEC Nijmegen,29,12,,,158,Sports360 GmbH
247,146854,Wissam Ben Yedder,"['Aug', '12', '1990']",170,France  Tunisia,Attack Centre Forward,both,AS Monaco,238,76,,,477,Sport Cover
248,82009,Kevin Volland,"['Jul', '30', '1992']",179,Germany,Attack Centre Forward,left,AS Monaco,169,112,,,525,Unique Sports Group
249,412932,Myron Boadu,"['Jan', '14', '2001']",181,Netherlands  Ghana,Attack Centre Forward,right,AS Monaco,62,21,,,172,Team Raiola
250,494237,Wilson Isidor,"['Aug', '27', '2000']",186,France  Haiti,Attack Centre Forward,right,Lokomotiv Moscow,37,10,,,119,Cracksman
251,364133,Pietro Pellegri,"['Mar', '17', '2001']",188,Italy,Attack Centre Forward,right,Torino FC,18,2,,,107,Gr Sports
252,543503,Eric Ayiah,"['Mar', '6', '2000']",177,Ghana,Attack Centre Forward,right,Gil Vicente U23,17,1,,,68,no agent
