player_name,signed_from,discription
Conor McAleny,Everton FC U18,none
Phil Jagielka,Sheffield United,none
Conor McAleny,Everton FC U18,none
Mason Holgate,Barnsley FC,none
Conor McAleny,Everton FC U18,none
Leighton Baines,Wigan Athletic,none
Conor McAleny,Everton FC U18,none
Brendan Galloway,Milton Keynes Dons,none
Conor McAleny,Everton FC U18,none
Seamus Coleman,Sligo Rovers,"Knee Injury - Return expected on May 31, 2023"
Conor McAleny,Everton FC U18,none
Felipe Mattioni,Without Club,none
Conor McAleny,Everton FC U18,none
Muhamed Besic,Ferencvárosi TC,Ruptured cruciate ligament - Return unknown
Conor McAleny,Everton FC U18,none
Callum Connolly,none,none
Conor McAleny,Everton FC U18,none
James McCarthy,Wigan Athletic,none
Conor McAleny,Everton FC U18,none
Darron Gibson,Manchester United,none
Conor McAleny,Everton FC U18,none
Conor Grant,none,none
Conor McAleny,Everton FC U18,none
Steven Pienaar,Tottenham Hotspur,none
Conor McAleny,Everton FC U18,none
Kieran Dowell,Everton FC U23,none
Conor McAleny,Everton FC U18,none
Aaron Lennon,Tottenham Hotspur,none
Conor McAleny,Everton FC U18,none
Romelu Lukaku,Chelsea FC,none
Conor McAleny,Everton FC U18,none
Gerard Deulofeu,FC Barcelona,"Knee Surgery - Return expected on Jun 22, 2023"
Conor McAleny,Everton FC U18,none
Leandro Rodríguez,CA River Plate Montevideo,none
Conor McAleny,Everton FC U18,none
Maarten Stekelenburg,Fulham FC,none
Olufela Olomola,none,none
Kelvin Davis,Sunderland AFC,none
Olufela Olomola,none,none
Steven Caulker,Queens Park Rangers,none
Olufela Olomola,none,none
Florin Gardos,Steaua Bucharest,none
Olufela Olomola,none,none
Cuco Martina,Twente Enschede FC,none
Olufela Olomola,none,none
Jordan Turnbull,none,none
Olufela Olomola,none,none
Matt Targett,Southampton FC U21,none
Olufela Olomola,none,none
Cédric Soares,Sporting CP,none
Olufela Olomola,none,none
Victor Wanyama,Celtic FC,none
Olufela Olomola,none,none
Oriol Romeu,Chelsea FC,none
Olufela Olomola,none,none
Steven Davis,Rangers FC,"Cruciate Ligament Rupture - Return expected on Jul 31, 2023"
Olufela Olomola,none,none
Gastón Ramírez,Bologna FC 1909,none
Olufela Olomola,none,none
Dusan Tadic,Twente Enschede FC,none
Olufela Olomola,none,none
Lloyd Isgrove,Southampton FC U21,none
Olufela Olomola,none,none
Charlie Austin,Queens Park Rangers,none
Olufela Olomola,none,none
Shane Long,Hull City,none
Olufela Olomola,none,none
Ryan Seager,Southampton FC U21,none
Olufela Olomola,none,none
Darren Randolph,Middlesbrough FC,none
Nikica Jelavic,Hull City,none
Sam Howes,none,none
Nikica Jelavic,Hull City,none
Angelo Ogbonna,Juventus FC,none
Nikica Jelavic,Hull City,none
James Collins,Aston Villa,none
Nikica Jelavic,Hull City,none
Reece Burke,West Ham United U18,none
Nikica Jelavic,Hull City,none
Leo Chambers,none,none
Nikica Jelavic,Hull City,none
Aaron Cresswell,Ipswich Town,Red card suspension -  - Europa League
Nikica Jelavic,Hull City,none
Nathan Mavila,none,none
Nikica Jelavic,Hull City,none
Carl Jenkinson,Arsenal FC,Red card suspension -  - A-League Men
Nikica Jelavic,Hull City,none
Joey O'Brien,Bolton Wanderers,none
Nikica Jelavic,Hull City,none
Kyle Knoyle,none,none
Nikica Jelavic,Hull City,none
Cheikhou Kouyaté,RSC Anderlecht,none
Nikica Jelavic,Hull City,none
Amos Nasha,none,none
Nikica Jelavic,Hull City,none
Pedro Obiang,UC Sampdoria,none
Nikica Jelavic,Hull City,none
Diego Poyet,Charlton Athletic,none
Nikica Jelavic,Hull City,none
Victor Moses,Chelsea FC,none
Nikica Jelavic,Hull City,none
Dimitri Payet,Olympique Marseille,Suspension through sports court -  - Ligue 1 - 3 matchdays
Nikica Jelavic,Hull City,none
Kevin Nolan,Newcastle United,none
Nikica Jelavic,Hull City,none
Marcus Browne,none,none
Nikica Jelavic,Hull City,none
Martin Samuelsen,none,none
Nikica Jelavic,Hull City,none
Enner Valencia,CF Pachuca,none
Nikica Jelavic,Hull City,none
Diafra Sakho,FC Metz,none
Nikica Jelavic,Hull City,none
Michail Antonio,Nottingham Forest,none
Nikica Jelavic,Hull City,none
Modibo Maïga,FC Sochaux-Montbéliard,none
Nikica Jelavic,Hull City,none
Jordan Brown,none,none
Nikica Jelavic,Hull City,none
Karl Darlow,Nottingham Forest,none
Adam Armstrong,Newcastle United U18,none
Freddie Woodman,Newcastle United U18,none
Adam Armstrong,Newcastle United U18,none
Daryl Janmaat,Feyenoord Rotterdam,none
Adam Armstrong,Newcastle United U18,none
Fabricio Coloccini,Deportivo de La Coruña,none
Adam Armstrong,Newcastle United U18,none
Steven Taylor,Newcastle United U18,none
Adam Armstrong,Newcastle United U18,none
Paul Dummett,Newcastle United U21,none
Adam Armstrong,Newcastle United U18,none
Liam Gibson,none,none
Adam Armstrong,Newcastle United U18,none
Jamie Sterry,Newcastle United U21,none
Adam Armstrong,Newcastle United U18,none
Jack Colback,Sunderland AFC,none
Adam Armstrong,Newcastle United U18,none
Vurnon Anita,Ajax Amsterdam,none
Adam Armstrong,Newcastle United U18,none
Moussa Sissoko,FC Toulouse,none
Adam Armstrong,Newcastle United U18,none
Gaël Bigirimana,Coventry City,none
Adam Armstrong,Newcastle United U18,none
Siem de Jong,Ajax Amsterdam,none
Adam Armstrong,Newcastle United U18,none
Sylvain Marveaux,Stade Rennais FC,none
Adam Armstrong,Newcastle United U18,none
Yoan Gouffran,FC Girondins Bordeaux,none
Adam Armstrong,Newcastle United U18,none
Andros Townsend,Tottenham Hotspur,Cruciate Ligament Injury - Return unknown
Adam Armstrong,Newcastle United U18,none
Gabriel Obertan,Manchester United,none
Adam Armstrong,Newcastle United U18,none
Haris Vuckic,NK Domzale,Unknown Injury - Return unknown
Adam Armstrong,Newcastle United U18,none
Seydou Doumbia,AS Roma,none
Adam Armstrong,Newcastle United U18,none
Emmanuel Rivière,AS Monaco,none
Adam Armstrong,Newcastle United U18,none
Ivan Toney,Northampton Town,"Suspension through sports court - until Jan 17, 2024 - cross-competition"
Adam Armstrong,Newcastle United U18,none
Mark Schwarzer,Chelsea FC,none
Jacob Blyth,Leamington FC,none
Jonny Maddison,Crawley Town,none
Jacob Blyth,Leamington FC,none
Daniel Amartey,FC Copenhagen,none
Jacob Blyth,Leamington FC,none
Wes Morgan,Nottingham Forest,none
Jacob Blyth,Leamington FC,none
Marcin Wasilewski,RSC Anderlecht,none
Jacob Blyth,Leamington FC,none
