Club,id,Country,link,Season,income,expend,overall_balance,income_arrival,expend_arrival
Newcastle United,762,England,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2017,2017,€21.22m,€46.50m ,€-25.28m ,26,25
Watford FC,1010,England,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2017,2017,€18.74m,€73.40m ,€-54.66m ,27,30
Stoke City,512,England,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2017,2017,€35.14m,€57.70m ,€-22.56m ,17,17
Burnley FC,1132,England,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2017,2017,€50.00m,€35.74m ,+€14.26m,18,17
West Bromwich Albion,984,England,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2017,2017,€2.05m,€53.50m ,€-51.45m ,10,14
Swansea City,2288,England,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2017,2017,€81.10m,€73.39m ,+€7.72m,24,19
Brighton & Hove Albion,1237,England,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2017,2017,€400k,€66.50m ,€-66.10m ,20,21
AFC Bournemouth,989,England,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2017,2017,0,€34.30m ,€-34.30m ,11,11
Huddersfield Town,1110,England,https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2017,2017,€6.46m,€56.75m ,€-50.30m ,15,21
Manchester City,281,England,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2018,2018,€57.60m,€78.59m ,€-20.99m ,21,18
Liverpool FC,31,England,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018,€41.32m,€182.20m ,€-140.88m ,19,15
Chelsea FC,631,England,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2018,2018,€83.25m,€208.80m ,€-125.55m ,28,27
Tottenham Hotspur,148,England,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2018,2018,€5.35m,                    0                ,+€5.35m,4,4
Manchester United,985,England,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2018,2018,€30.55m,€82.70m ,€-52.15m ,9,9
Arsenal FC,11,England,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,€9.10m,€80.15m ,€-71.05m ,12,17
Everton FC,29,England,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018,€28.65m,€99.80m ,€-71.15m ,21,19
Leicester City,1003,England,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2018,2018,€95.80m,€114.60m ,€-18.80m ,18,15
West Ham United,379,England,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018,€13.77m,€100.90m ,€-87.14m ,12,18
AFC Bournemouth,989,England,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,€20.20m,€91.60m ,€-71.40m ,16,14
Southampton FC,180,England,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2018,2018,€26.10m,€62.25m ,€-36.15m ,16,15
Wolverhampton Wanderers,543,England,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,€23.30m,€112.75m ,€-89.45m ,34,27
Crystal Palace,873,England,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2018,2018,€350k,€11.85m ,€-11.50m ,15,11
Fulham FC,931,England,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2018,2018,€5.35m,€116.50m ,€-111.15m ,10,18
Newcastle United,762,England,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2018,2018,€51.05m,€59.75m ,€-8.70m ,22,21
Watford FC,1010,England,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2018,2018,€51.84m,€30.10m ,+€21.74m,25,25
Burnley FC,1132,England,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2018,2018,€8.00m,€33.00m ,€-25.00m ,9,8
Brighton & Hove Albion,1237,England,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,€13.62m,€87.12m ,€-73.50m ,27,24
Huddersfield Town,1110,England,https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2018,2018,€12.33m,€50.70m ,€-38.37m ,16,14
Cardiff City,603,England,https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2018,2018,0,€40.20m ,€-40.20m ,17,17
Manchester City,281,England,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,2019,€71.00m,€166.82m ,€-95.82m ,23,22
Liverpool FC,31,England,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019,2019,€48.00m,€10.40m ,+€37.60m,15,14
Tottenham Hotspur,148,England,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2019,2019,€64.50m,€150.50m ,€-86.00m ,12,11
Chelsea FC,631,England,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2019,2019,€157.27m,€45.00m ,+€112.27m,27,21
Manchester United,985,England,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2019,2019,€81.18m,€234.80m ,€-153.62m ,11,12
Arsenal FC,11,England,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2019,2019,€53.65m,€160.80m ,€-107.15m ,18,16
Everton FC,29,England,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,2019,€87.80m,€121.00m ,€-33.20m ,21,22
Leicester City,1003,England,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2019,2019,€88.50m,€104.30m ,€-15.80m ,12,13
Wolverhampton Wanderers,543,England,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,2019,€24.10m,€116.70m ,€-92.60m ,21,24
West Ham United,379,England,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2019,2019,€55.48m,€119.80m ,€-64.32m ,17,10
AFC Bournemouth,989,England,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2019,2019,€34.63m,€54.91m ,€-20.29m ,11,12
Newcastle United,762,England,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2019,2019,€35.64m,€72.90m ,€-37.26m ,10,12
Aston Villa,405,England,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019,2019,€3.00m,€159.50m ,€-156.50m ,21,23
Southampton FC,180,England,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2019,2019,€27.30m,€61.50m ,€-34.20m ,17,14
Brighton & Hove Albion,1237,England,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019,2019,€8.50m,€61.74m ,€-53.24m ,24,24
Watford FC,1010,England,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2019,2019,€25.40m,€56.00m ,€-30.60m ,19,21
Crystal Palace,873,England,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2019,2019,€55.38m,€7.60m ,+€47.78m,15,12
Burnley FC,1132,England,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2019,2019,€13.55m,€23.85m ,€-10.30m ,9,8
Norwich City,1123,England,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2019,2019,€2.20m,€8.82m ,€-6.62m ,24,19
Sheffield United,350,England,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2019,2019,€350k,€70.50m ,€-70.15m ,19,22
Manchester City,281,England,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2020,2020,€64.00m,€173.40m ,€-109.40m ,21,24
Liverpool FC,31,England,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2020,2020,€17.20m,€84.05m ,€-66.85m ,13,16
Chelsea FC,631,England,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2020,2020,€57.15m,€247.20m ,€-190.05m ,26,31
Manchester United,985,England,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2020,2020,€19.50m,€83.80m ,€-64.30m ,14,13
Tottenham Hotspur,148,England,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2020,2020,€13.30m,€110.50m ,€-97.20m ,11,15
Arsenal FC,11,England,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2020,2020,€19.15m,€86.00m ,€-66.85m ,16,16
Everton FC,29,England,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2020,2020,€4.43m,€74.37m ,€-69.95m ,20,20
Leicester City,1003,England,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2020,2020,€53.77m,€59.40m ,€-5.63m ,15,16
Wolverhampton Wanderers,543,England,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2020,2020,€79.20m,€87.59m ,€-8.39m ,20,18
Aston Villa,405,England,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2020,2020,€2.77m,€101.35m ,€-98.58m ,16,12
West Ham United,379,England,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2020,2020,€45.41m,€54.70m ,€-9.29m ,17,14
Brighton & Hove Albion,1237,England,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2020,2020,€20.60m,€28.50m ,€-7.90m ,20,25
Southampton FC,180,England,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2020,2020,€26.30m,€37.30m ,€-11.00m ,17,21
Newcastle United,762,England,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2020,2020,€275k,€39.00m ,€-38.73m ,15,11
Fulham FC,931,England,https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2020,2020,0,€37.25m ,€-37.25m ,19,22
Leeds United,399,England,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2020,2020,0,€127.80m ,€-127.80m ,15,14
Crystal Palace,873,England,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2020,2020,€20.00m,€22.40m ,€-2.40m ,7,13
Sheffield United,350,England,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2020,2020,0,€62.70m ,€-62.70m ,17,14
West Bromwich Albion,984,England,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2020,2020,€8.10m,€42.14m ,€-34.04m ,21,21
Burnley FC,1132,England,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2020,2020,€2.30m,€1.10m ,+€1.20m,6,6
Manchester City,281,England,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2021,2021,€93.80m,€138.90m ,€-45.10m ,19,19
Liverpool FC,31,England,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2021,2021,€29.55m,€87.00m ,€-57.45m ,12,14
Chelsea FC,631,England,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2021,2021,€148.94m,€118.00m ,+€30.94m,23,21
Manchester United,985,England,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2021,2021,€31.10m,€142.00m ,€-110.90m ,12,16
Tottenham Hotspur,148,England,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2021,2021,€34.62m,€95.90m ,€-61.28m ,18,14
Arsenal FC,11,England,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2021,2021,€31.40m,€167.40m ,€-136.00m ,19,12
Leicester City,1003,England,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2021,2021,€4.00m,€67.60m ,€-63.60m ,10,11
Aston Villa,405,England,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2021,2021,€127.00m,€129.80m ,€-2.80m ,17,20
Everton FC,29,England,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2021,2021,€46.00m,€39.50m ,+€6.50m,15,14
Wolverhampton Wanderers,543,England,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,2021,€31.80m,€37.60m ,€-5.80m ,19,23
West Ham United,379,England,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2021,2021,€4.24m,€74.50m ,€-70.27m ,6,9
Brighton & Hove Albion,1237,England,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2021,2021,€78.50m,€75.00m ,+€3.50m,27,23
Newcastle United,762,England,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2021,2021,0,€130.50m ,€-130.50m ,10,12
Leeds United,399,England,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2021,2021,0,€59.30m ,€-59.30m ,14,11
Southampton FC,180,England,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2021,2021,€60.35m,€43.10m ,+€17.25m,13,10
Brentford FC,1148,England,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2021,2021,€1.00m,€36.70m ,€-35.70m ,13,17
Crystal Palace,873,England,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2021,2021,0,€85.62m ,€-85.62m ,15,11
Norwich City,1123,England,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2021,2021,€38.40m,€63.55m ,€-25.15m ,27,30
Watford FC,1010,England,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2021,2021,€12.85m,€43.50m ,€-30.65m ,27,28
Burnley FC,1132,England,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2021,2021,€40.50m,€49.40m ,€-8.90m ,6,8
FC Barcelona,131,Spain,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2015,2015,€38.30m,€51.00m ,€-12.70m ,9,11
Real Madrid,418,Spain,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2015,2015,€31.65m,€92.90m ,€-61.25m ,12,12
Atlético de Madrid,13,Spain,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2015,2015,€152.00m,€119.00m ,+€33.00m,23,21
Valencia CF,1049,Spain,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2015,2015,€50.00m,€143.90m ,€-93.90m ,15,20
Sevilla FC,368,Spain,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2015,2015,€61.45m,€44.00m ,+€17.45m,20,22
Athletic Bilbao,621,Spain,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2015,2015,0,€10.00m ,€-10.00m ,15,13
Villarreal CF,1050,Spain,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2015,2015,€37.56m,€47.20m ,€-9.64m ,18,19
Real Sociedad,681,Spain,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2015,2015,€1.00m,€26.10m ,€-25.10m ,14,17
Celta de Vigo,940,Spain,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2015,2015,€18.50m,€16.30m ,+€2.20m,12,10
Málaga CF,1084,Spain,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2015,2015,€46.80m,€8.65m ,+€38.15m,18,20
Granada CF,16795,Spain,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2015,2015,€11.17m,€3.85m ,+€7.32m,40,37
RCD Espanyol Barcelona,714,Spain,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2015,2015,€15.20m,€4.45m ,+€10.75m,18,24
Deportivo de La Coruña,897,Spain,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2015,2015,0,€8.00m ,€-8.00m ,20,18
SD Eibar,1533,Spain,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2015,2015,0,€3.70m ,€-3.70m ,26,26
Real Betis Balompié,150,Spain,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2015,2015,€1.05m,€8.85m ,€-7.80m ,18,21
Sporting Gijón,2448,Spain,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448/saison_id/2015,2015,0,                    0                ,-0,7,9
Levante UD,3368,Spain,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2015,2015,0,€6.55m ,€-6.55m ,15,16
Rayo Vallecano,367,Spain,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2015,2015,0,€400k ,€-400k ,17,18
Getafe CF,3709,Spain,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2015,2015,€4.10m,€270k ,+€3.83m,12,14
UD Las Palmas,472,Spain,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2015,2015,0,€6.40m ,€-6.40m ,16,16
Real Madrid,418,Spain,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2016,2016,€37.50m,€30.00m ,+€7.50m,12,14
FC Barcelona,131,Spain,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2016,2016,€33.80m,€124.75m ,€-90.95m ,13,11
Atlético de Madrid,13,Spain,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2016,2016,€44.00m,€78.80m ,€-34.80m ,21,22
Sevilla FC,368,Spain,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2016,2016,€93.45m,€81.70m ,+€11.75m,18,17
Valencia CF,1049,Spain,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2016,2016,€121.90m,€36.00m ,+€85.90m,18,16
Villarreal CF,1050,Spain,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2016,2016,€67.25m,€55.95m ,+€11.30m,19,21
Athletic Bilbao,621,Spain,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2016,2016,0,                    0                ,-0,13,15
Real Sociedad,681,Spain,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2016,2016,€11.00m,€18.00m ,€-7.00m ,12,12
Celta de Vigo,940,Spain,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2016,2016,€19.80m,€8.40m ,+€11.40m,7,11
Deportivo de La Coruña,897,Spain,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2016,2016,€20.00m,€7.00m ,+€13.00m,23,23
Deportivo Alavés,1108,Spain,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2016,2016,0,€6.33m ,€-6.33m ,18,19
Málaga CF,1084,Spain,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2016,2016,0,€12.54m ,€-12.54m ,16,19
UD Las Palmas,472,Spain,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2016,2016,€200k,€2.90m ,€-2.70m ,17,15
Real Betis Balompié,150,Spain,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2016,2016,€8.00m,€20.90m ,€-12.90m ,24,21
RCD Espanyol Barcelona,714,Spain,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2016,2016,€6.00m,€18.40m ,€-12.40m ,22,20
SD Eibar,1533,Spain,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2016,2016,€5.00m,€8.60m ,€-3.60m ,22,21
Granada CF,16795,Spain,https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2016,2016,€31.60m,€11.58m ,+€20.03m,39,38
CD Leganés,1244,Spain,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2016,2016,€200k,€5.45m ,€-5.25m ,19,22
Sporting Gijón,2448,Spain,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448/saison_id/2016,2016,0,€1.00m ,€-1.00m ,14,16
CA Osasuna,331,Spain,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2016,2016,€3.75m,€2.20m ,+€1.55m,9,15
FC Barcelona,131,Spain,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2017,2017,€232.50m,€380.10m ,€-147.60m ,12,13
Real Madrid,418,Spain,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2017,2017,€132.50m,€40.50m ,+€92.00m,10,9
Atlético de Madrid,13,Spain,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2017,2017,€104.00m,€95.60m ,+€8.40m,20,16
Valencia CF,1049,Spain,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2017,2017,€16.55m,€55.00m ,€-38.45m ,22,23
Sevilla FC,368,Spain,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2017,2017,€81.60m,€78.05m ,+€3.55m,15,17
Athletic Bilbao,621,Spain,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2017,2017,€65.00m,€32.00m ,+€33.00m,9,9
Real Sociedad,681,Spain,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2017,2017,€53.00m,€25.50m ,+€27.50m,14,14
Villarreal CF,1050,Spain,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2017,2017,€68.00m,€46.10m ,+€21.90m,14,16
Celta de Vigo,940,Spain,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2017,2017,€13.20m,€26.80m ,€-13.60m ,18,15
Real Betis Balompié,150,Spain,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2017,2017,€27.07m,€38.50m ,€-11.43m ,22,21
RCD Espanyol Barcelona,714,Spain,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2017,2017,€10.50m,€17.05m ,€-6.55m ,17,17
UD Las Palmas,472,Spain,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2017,2017,€25.70m,€350k ,+€25.35m,21,23
Girona FC,12321,Spain,https://www.transfermarkt.com/fc-girona/startseite/verein/12321/saison_id/2017,2017,0,€8.75m ,€-8.75m ,21,20
Deportivo Alavés,1108,Spain,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2017,2017,€7.50m,€12.33m ,€-4.83m ,21,21
