Club,id,Country,link,Season,income,expend,overall_balance,income_arrival,expend_arrival
Deportivo de La Coruña,897,Spain,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2017,2017,€5.50m,€9.50m ,€-4.00m ,19,21
Getafe CF,3709,Spain,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2017,2017,€1.60m,€12.90m ,€-11.30m ,23,26
Levante UD,3368,Spain,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2017,2017,€13.85m,€10.00m ,+€3.85m,17,23
SD Eibar,1533,Spain,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2017,2017,€10.00m,€10.25m ,€-250k ,19,22
CD Leganés,1244,Spain,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2017,2017,€130k,€6.55m ,€-6.42m ,22,19
Málaga CF,1084,Spain,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2017,2017,€33.40m,€10.50m ,+€22.90m,25,25
FC Barcelona,131,Spain,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2018,2018,€146.05m,€141.10m ,+€4.95m,18,19
Atlético de Madrid,13,Spain,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2018,2018,€57.90m,€168.00m ,€-110.10m ,15,19
Real Madrid,418,Spain,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2018,2018,€136.10m,€164.75m ,€-28.65m ,14,16
Valencia CF,1049,Spain,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2018,2018,€68.80m,€129.20m ,€-60.40m ,22,22
Sevilla FC,368,Spain,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2018,2018,€93.80m,€81.05m ,+€12.75m,21,20
Real Sociedad,681,Spain,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2018,2018,€32.80m,€12.00m ,+€20.80m,13,12
Real Betis Balompié,150,Spain,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2018,2018,€49.30m,€44.50m ,+€4.80m,19,19
Athletic Bilbao,621,Spain,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2018,2018,€80.00m,€32.90m ,+€47.10m,9,11
Celta de Vigo,940,Spain,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2018,2018,€35.70m,€30.00m ,+€5.70m,18,23
Villarreal CF,1050,Spain,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2018,2018,€54.80m,€92.90m ,€-38.10m ,21,23
RCD Espanyol Barcelona,714,Spain,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2018,2018,€30.80m,€22.10m ,+€8.70m,13,13
Getafe CF,3709,Spain,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2018,2018,€5.00m,€27.25m ,€-22.25m ,27,27
CD Leganés,1244,Spain,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2018,2018,€24.60m,€18.90m ,+€5.70m,26,29
Deportivo Alavés,1108,Spain,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2018,2018,€9.00m,€10.00m ,€-1.00m ,23,24
Levante UD,3368,Spain,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2018,2018,€41.50m,€26.70m ,+€14.80m,21,17
Girona FC,12321,Spain,https://www.transfermarkt.com/fc-girona/startseite/verein/12321/saison_id/2018,2018,€3.30m,€10.20m ,€-6.90m ,11,11
SD Eibar,1533,Spain,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2018,2018,€7.75m,€8.00m ,€-250k ,17,15
Rayo Vallecano,367,Spain,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2018,2018,€13.00m,€12.30m ,+€700k,27,27
Real Valladolid CF,366,Spain,https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2018,2018,0,€10.10m ,€-10.10m ,22,21
SD Huesca,5358,Spain,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358/saison_id/2018,2018,€400k,€9.30m ,€-8.90m ,22,21
FC Barcelona,131,Spain,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2019,2019,€152.90m,€298.50m ,€-145.60m ,22,20
Real Madrid,418,Spain,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2019,2019,€136.80m,€355.50m ,€-218.70m ,19,22
Atlético de Madrid,13,Spain,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2019,2019,€316.30m,€247.35m ,+€68.95m,19,20
Valencia CF,1049,Spain,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2019,2019,€56.30m,€75.00m ,€-18.70m ,19,24
Real Sociedad,681,Spain,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2019,2019,€9.50m,€31.75m ,€-22.25m ,14,13
Sevilla FC,368,Spain,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2019,2019,€131.45m,€188.73m ,€-57.28m ,29,30
Real Betis Balompié,150,Spain,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2019,2019,€72.00m,€96.45m ,€-24.45m ,18,21
Athletic Bilbao,621,Spain,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2019,2019,0,                    0                ,-0,12,10
Villarreal CF,1050,Spain,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2019,2019,€69.30m,€43.80m ,+€25.50m,20,19
