,player_id,name,birth_date,height,main_position,foot,agent
6441,186399,Thiago Galhardo,1989-07-20,183.0,Attack Centre Forward,right,Two Touch Agency
6442,255653,Santi Mina,1995-12-07,181.0,Attack Centre Forward,right,OLIMPUS ESPORT ...
6443,248738,Sergio Herrera,1993-06-05,192.0,Goalkeeper,right,YOU FIRST
6444,298613,Juan Pérez,1996-07-15,191.0,Goalkeeper,right,Bahía Internacional
6445,341266,Darío Ramos,1999-10-19,191.0,Goalkeeper,,InterStarDeporte
6446,634116,Yoel Ramírez,2002-02-05,184.0,Goalkeeper,left,CAA Stellar
6447,298589,David García,1994-02-14,186.0,Defender Centre Back,both,YOU FIRST
6448,197122,Unai García,1992-02-03,186.0,Defender Centre Back,right,GLOBAL ASES
6449,82503,Aridane Hernández,1989-03-23,188.0,Defender Centre Back,right,Identity Sports
6450,69660,Jonás Ramalho,1993-06-10,185.0,Defender Centre Back,right,Sports and ...
6451,783429,Unai Dufur,1999-01-21,187.0,Defender Centre Back,right,
6452,618809,Manu Sánchez,2000-08-24,171.0,Defender Left Back,left,
6453,169497,Juan Cruz,1992-07-28,182.0,Defender Left Back,left,Roalza
6454,87469,Cote,1989-09-05,182.0,Defender Left Back,left,EMG Mundial
6455,216870,Nacho Vidal,1995-01-24,180.0,Defender Right Back,right,Promoesport
6456,488626,Jesús Areso,1999-07-02,182.0,Defender Right Back,right,GLOBAL ASES
6457,213670,Lucas Torró,1994-07-19,190.0,midfield Defensive Midfield,right,Toldra Consulting ...
6458,63040,Oier Sanjurjo,1986-05-25,178.0,midfield Defensive Midfield,right,GLOBAL ASES
6459,552425,Jon Moncayola,1998-05-13,182.0,midfield Central Midfield,right,
6460,95641,Darko Brasanac,1992-02-12,178.0,midfield Central Midfield,right,
6461,340864,Jaume Grau,1997-05-05,184.0,midfield Central Midfield,left,Toldra Consulting ...
6462,71579,Iñigo Pérez,1988-01-18,178.0,midfield Central Midfield,left,IDUB GLOBAL
6463,63056,Roberto Torres,1989-03-07,178.0,midfield Attacking Midfield,right,Antonio López ...
6464,471474,Javi Martínez,1999-12-22,181.0,midfield Attacking Midfield,right,Bahía Internacional
6465,213260,Rubén García,1993-07-14,171.0,Attack Left Winger,left,Toldra Consulting ...
6466,298983,Javi Ontiveros,1997-09-09,175.0,Attack Left Winger,right,Sports&Life
6467,298575,Kike Barja,1997-04-01,179.0,Attack Right Winger,right,YOU FIRST
6468,242532,Rober Ibáñez,1993-03-22,175.0,Attack Right Winger,right,InterStarDeporte
6469,710679,Iker Benito,2002-08-10,176.0,Attack Right Winger,right,GLOBAL ASES
6470,366931,Pau Martínez,2000-11-10,168.0,Attack Right Winger,right,IFM
6471,167721,Chimy Ávila,1994-02-06,172.0,Attack Centre Forward,right,Carlos Bilicich
6472,46413,Ante Budimir,1991-07-22,190.0,Attack Centre Forward,left,MG MEDIATOR TRANSFER
6473,93936,Kike García,1989-11-25,186.0,Attack Centre Forward,right,
6474,514514,Iván Barbero,1998-08-17,186.0,Attack Centre Forward,right,Implica-T
6475,367464,Luís Maximiano,1999-01-05,190.0,Goalkeeper,both,MRP.POSITIONUMBER
6476,284430,Aarón Escandell,1995-09-27,185.0,Goalkeeper,right,Wasserman
6477,198638,João Costa,1996-02-02,186.0,Goalkeeper,right,SoccerSoul
