season,Age,player_id,season_short
2015,26,52432,15/16
2015,22,93905,15/16
2015,17,308632,15/16
2015,24,45333,15/16
2015,27,42413,15/16
2015,20,218355,15/16
2015,33,4321,15/16
2015,17,258916,15/16
2015,28,14221,15/16
2015,22,96341,15/16
2015,21,129476,15/16
2015,22,238988,15/16
2015,25,101118,15/16
2015,19,242089,15/16
2015,24,11111,15/16
2015,18,348623,15/16
2015,20,220755,15/16
2015,25,124983,15/16
2015,22,110860,15/16
2015,34,3614,15/16
2015,18,258883,15/16
2015,34,3291,15/16
2015,21,131978,15/16
2015,25,73484,15/16
2015,34,3620,15/16
2015,17,314210,15/16
2015,27,33639,15/16
2015,29,21333,15/16
2015,25,209781,15/16
2015,31,8552,15/16
2015,22,121260,15/16
2015,32,4311,15/16
2015,38,13640,15/16
2015,23,121280,15/16
2015,31,33829,15/16
2015,25,91251,15/16
2015,20,226978,15/16
2015,19,250478,15/16
2015,23,112988,15/16
2015,24,77760,15/16
2015,23,66100,15/16
2015,30,28973,15/16
2015,24,123742,15/16
2015,26,36139,15/16
2015,22,226965,15/16
2015,25,129627,15/16
2015,28,37304,15/16
2015,19,247647,15/16
2015,27,52570,15/16
2015,23,195488,15/16
2015,23,139208,15/16
2015,26,57423,15/16
2015,26,81789,15/16
2015,21,163744,15/16
2015,25,40611,15/16
2015,20,226968,15/16
2015,19,227185,15/16
2015,24,104223,15/16
2015,20,181579,15/16
2015,20,226973,15/16
2015,23,200512,15/16
2015,22,126737,15/16
2015,25,53360,15/16
2015,29,29594,15/16
2015,19,227183,15/16
2015,17,356569,15/16
2015,28,51321,15/16
2015,17,258023,15/16
2015,27,48002,15/16
2015,31,12691,15/16
2015,18,264220,15/16
2015,19,183281,15/16
2015,25,92571,15/16
2015,19,242646,15/16
2015,23,126321,15/16
2015,29,34672,15/16
2015,18,291171,15/16
2015,25,66934,15/16
2015,19,242648,15/16
2015,23,101213,15/16
2015,20,183286,15/16
2015,24,59866,15/16
2015,28,37647,15/16
2015,33,3950,15/16
2015,20,229826,15/16
2015,18,234807,15/16
2015,25,139503,15/16
2015,25,120610,15/16
2015,25,104124,15/16
2015,27,46831,15/16
2015,18,242603,15/16
2015,28,71271,15/16
2015,22,111428,15/16
2015,26,37526,15/16
2015,26,61592,15/16
2015,16,314295,15/16
2015,22,157907,15/16
2015,17,339789,15/16
2015,20,186269,15/16
2015,19,242652,15/16
2015,21,236953,15/16
2015,21,258311,15/16
2015,18,345960,15/16
2015,27,27394,15/16
2015,17,292734,15/16
2015,28,31835,15/16
2015,19,242606,15/16
2015,22,135853,15/16
2015,17,391470,15/16
2015,18,345961,15/16
2015,26,48066,15/16
2015,28,120630,15/16
2015,29,25742,15/16
2015,24,99397,15/16
2015,18,226049,15/16
2015,25,60744,15/16
2015,33,6150,15/16
2015,29,17273,15/16
2015,23,170321,15/16
