,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Goals,Own goals,Assists,Penalty goals,Yellow cards,Second yellow cards,Red cards,Substitutions on,Substitutions off,Minutes played,Minutes per goal,market_value
1817,285845,2019,21,Premier League,Arsenal FC,11,midfield,False,28,20,11,0,0,1.7,0,0,2,0,4,1,0,5,0,1382,0,14500000.0
1818,318077,2019,23,Premier League,Arsenal FC,11,midfield,False,33,29,11,0,0,1.48,1,0,1,0,7,0,0,12,9,1507,1507,36000000.0
1819,319745,2019,22,Premier League,Arsenal FC,11,midfield,False,28,24,11,0,0,1.75,0,0,2,0,1,0,0,6,12,1699,0,32000000.0
1820,340329,2019,19,Premier League,Arsenal FC,11,midfield,False,35,29,11,0,0,1.34,1,0,1,0,2,0,0,21,7,840,840,16000000.0
1824,49755,2020,31,Premier League,Brighton & Hove Albion,1237,midfield,False,1,0,12,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2500000.0
1825,82873,2020,29,Premier League,Brighton & Hove Albion,1237,midfield,False,38,34,12,0,0,1.06,3,0,8,3,3,0,0,7,3,2480,827,7000000.0
1826,384461,2020,21,Premier League,Brighton & Hove Albion,1237,midfield,False,19,12,12,0,0,1.25,0,0,0,0,0,0,0,5,4,646,0,10000000.0
1827,410425,2020,23,Premier League,Brighton & Hove Albion,1237,midfield,False,36,36,12,0,0,1.14,1,0,0,0,8,0,1,1,4,3114,3114,25000000.0
1831,43530,2021,33,Premier League,Brighton & Hove Albion,1237,midfield,False,34,24,11,0,0,1.5,0,0,1,0,4,0,0,6,10,1559,0,2000000.0
1833,384461,2021,22,Premier League,Brighton & Hove Albion,1237,midfield,False,30,28,11,0,0,1.18,0,0,3,0,2,0,0,9,10,1703,0,12000000.0
1835,463751,2021,19,Premier League,Brighton & Hove Albion,1237,midfield,False,10,0,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,300000.0
1836,476237,2021,22,Premier League,Brighton & Hove Albion,1237,midfield,False,27,9,11,0,0,1.11,0,0,0,0,0,0,0,4,5,404,0,5000000.0
1838,490307,2021,23,Premier League,Brighton & Hove Albion,1237,midfield,False,24,18,11,0,0,1.83,2,0,5,0,2,0,0,6,7,994,497,18000000.0
1844,162961,2019,25,Serie A,Hellas Verona,276,midfield,True,37,32,10,0,0,1.38,3,0,2,2,4,0,0,10,20,1782,594,3200000.0
1845,193867,2019,23,Serie A,Hellas Verona,276,midfield,False,17,4,10,0,0,1.75,0,0,0,0,1,0,0,2,1,195,0,1100000.0
1846,287579,2019,22,Serie A,Hellas Verona,276,midfield,False,34,34,10,0,0,1.29,1,0,2,1,10,0,2,1,9,2928,2928,14500000.0
1850,60394,2017,24,Bundesliga,1.FSV Mainz 05,39,midfield,False,1,0,3,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,400000.0
1851,168543,2017,21,Bundesliga,1.FSV Mainz 05,39,midfield,False,25,25,3,0,0,1.08,0,0,4,0,3,0,0,4,15,1750,0,5500000.0
1852,182894,2017,21,Bundesliga,1.FSV Mainz 05,39,midfield,False,31,30,3,0,0,1.07,1,0,3,0,4,0,0,1,1,2590,2590,15000000.0
1855,182574,2018,24,Bundesliga,1.FSV Mainz 05,39,midfield,False,32,30,7,0,0,1.23,4,0,8,0,8,0,0,5,9,2130,533,6000000.0
1856,182894,2018,22,Bundesliga,1.FSV Mainz 05,39,midfield,False,31,31,7,0,0,1.26,2,0,1,0,3,0,0,1,3,2674,1337,28000000.0
1858,44983,2019,29,Premier League,AFC Bournemouth,989,midfield,False,27,24,5,0,0,0.75,3,0,1,0,3,0,0,10,7,1260,420,2000000.0
1860,112465,2021,29,Serie A,AS Roma,12,midfield,True,15,14,15,0,0,1.86,2,0,1,1,5,0,0,1,11,899,450,12000000.0
1861,164771,2021,28,Serie A,AS Roma,12,midfield,False,36,36,15,0,0,1.58,4,0,8,1,6,0,0,10,17,2326,582,17000000.0
1863,285845,2021,23,Serie A,AS Roma,12,midfield,True,18,8,15,0,0,1.38,0,0,0,0,0,0,0,1,6,491,0,10000000.0
1866,392085,2021,21,Serie A,AS Roma,12,midfield,False,30,28,15,0,0,1.61,2,0,5,0,10,1,1,5,13,1980,990,33000000.0
1867,398163,2021,23,Serie A,AS Roma,12,midfield,False,12,0,15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5000000.0
1868,550108,2021,19,Serie A,AS Roma,12,midfield,False,34,16,15,0,0,1.63,0,0,0,0,1,0,0,7,9,794,0,12000000.0
1869,562049,2021,19,Serie A,AS Roma,12,midfield,False,32,11,15,0,0,2.27,1,0,0,0,0,0,0,11,0,57,57,1100000.0
1871,647484,2021,20,Serie A,AS Roma,12,midfield,False,22,1,15,0,0,3.0,0,0,0,0,0,0,0,0,1,64,0,2000000.0
1872,746891,2021,17,Serie A,AS Roma,12,midfield,False,8,3,15,0,0,0.67,1,0,0,0,0,0,0,3,0,35,35,900000.0
1875,126665,2020,30,Ligue 1,Paris Saint-Germain,583,midfield,False,33,28,21,0,0,2.14,2,0,1,0,3,0,0,8,12,1585,793,15000000.0
1876,129473,2020,27,Ligue 1,Paris Saint-Germain,583,midfield,True,27,23,21,0,0,2.09,0,0,5,0,2,0,0,8,13,1366,0,15000000.0
1877,141050,2020,28,Ligue 1,Paris Saint-Germain,583,midfield,False,26,23,21,0,0,2.26,2,0,1,0,3,0,0,7,5,1428,714,20000000.0
1879,566931,2020,17,Ligue 1,Paris Saint-Germain,583,midfield,False,12,1,21,0,0,3.0,0,0,0,0,0,0,0,1,0,1,0,500000.0
1883,127156,2021,29,Ligue 1,Montpellier HSC,969,midfield,False,29,29,12,0,0,1.24,8,0,7,3,7,1,1,1,6,2422,303,12000000.0
1884,222859,2021,29,Ligue 1,Montpellier HSC,969,midfield,False,36,35,12,0,0,0.97,6,0,2,0,6,0,0,3,20,2648,441,6000000.0
1885,484743,2021,20,Ligue 1,Montpellier HSC,969,midfield,False,7,0,12,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,700000.0
1887,650350,2021,21,Ligue 1,Montpellier HSC,969,midfield,False,37,24,12,0,0,0.75,0,0,0,0,3,0,0,17,6,614,0,1500000.0
1891,204294,2021,27,Premier League,Brentford FC,1148,midfield,False,33,17,9,0,0,0.82,1,0,2,0,2,0,0,13,4,527,527,2500000.0
1892,270171,2021,23,Premier League,Brentford FC,1148,midfield,False,32,31,9,0,0,1.29,4,0,0,0,3,0,0,4,14,2307,577,14000000.0
1893,319859,2021,25,Premier League,Brentford FC,1148,midfield,False,35,31,9,0,0,1.0,0,0,1,0,0,0,0,12,11,1599,0,10000000.0
1895,421637,2021,23,Premier League,Brentford FC,1148,midfield,False,26,20,9,0,0,1.4,0,0,0,0,4,0,0,8,11,1049,0,9000000.0
