Coach name,Appointed Date,id
Rolando Maran,2020-08-26,252.0
Vincenzo Italiano,2019-07-01,3522.0
Giovanni Stroppa,2018-12-28,4083.0
Filippo Inzaghi,2019-06-22,4171.0
Massimiliano Allegri,2021-05-28,506.0
Simone Inzaghi,2021-06-03,46.0
Stefano Pioli,2019-10-09,5.0
Luciano Spalletti,2021-07-01,6195.0
Gian Piero Gasperini,2016-06-14,800.0
José Mourinho,2021-07-01,12.0
Vincenzo Italiano,2021-07-01,430.0
Maurizio Sarri,2021-06-09,398.0
Alessio Dionisi,2021-07-01,6574.0
Ivan Juric,2021-07-01,416.0
Siniša Mihajlović,2019-01-28,1025.0
Eusebio Di Francesco,2021-06-07,276.0
Luca Gotti,2019-11-01,410.0
Leonardo Semplici,2021-02-22,1390.0
Roberto D'Aversa,2021-07-04,1038.0
Aurelio Andreazzoli,2021-06-21,749.0
Davide Ballardini,2020-12-21,252.0
Paolo Zanetti,2020-08-14,607.0
Thiago Motta,2021-07-08,3522.0
Fabrizio Castori,2020-08-10,380.0
