id,Season,income,expend,overall_balance,ARRIVALS,DEPARTURES,League name,Average age of players,Total market value
1531,2021,2100000.0,8199999.999999999,-6100000.0,19,19,LaLiga,27.7,60700000.0
2687,2021,0.0,6100000.0,-6100000.0,22,24,LaLiga,29.0,62400000.0
367,2021,2200000.0,4300000.0,-2100000.0,19,16,LaLiga,28.8,95200000.0
1108,2021,3500000.0,1150000.0,2350000.0,22,24,LaLiga2,26.1,34300000.0
506,2015,81280000.0,185500000.0,-104220000.0,72,78,Serie A,27.0,420700000.0
12,2015,134250000.0,60850000.0,73400000.0,55,58,Serie A,26.2,317150000.0
6195,2015,18290000.0,42700000.0,-24410000.0,33,34,Serie A,26.2,629000000.0
46,2015,115320000.0,102450000.0,12870000.0,68,58,Serie A,28.5,534450000.00000006
5,2015,11160000.0,102280000.0,-91120000.0,51,48,Serie A,27.0,547250000.0
430,2015,26850000.0,24900000.0,1950000.0,48,42,Serie A,26.5,236300000.0
398,2015,2370000.0,31250000.0,-28880000.0,33,35,Serie A,27.2,274150000.0
1038,2015,16820000.0,34670000.0,-17850000.0,57,59,Serie A,26.6,71450000.0
252,2015,43150000.0,16700000.0,26450000.0,47,51,Serie B,26.4,52550000.0
6574,2015,25000000.0,30700000.0,-5700000.0,27,21,Serie A,25.9,171400000.0
410,2015,74120000.0,21420000.0,52700000.0,56,61,Serie A,25.4,143050000.0
416,2015,19750000.0,28050000.0,-8300000.000000001,38,40,Serie A,24.6,169530000.0
800,2015,37950000.0,26680000.0,11270000.0,63,72,Serie A,26.6,329500000.0
1025,2015,800000.0,26630000.0,-25830000.0,42,44,Serie A,25.7,136100000.0
749,2015,11500000.0,6350000.0,5150000.0,32,33,,,
458,2015,52900000.0,12250000.0,40650000.0,41,41,,,
4102,2015,275000.0,300000.0,-25000.0,39,41,,,
862,2015,15400000.0,6130000.0,9270000.0,64,70,,,49780000.0
276,2015,2049999.9999999998,6300000.0,-4250000.0,51,48,Serie A,26.4,84850000.0
8970,2015,200000.0,400000.0,-200000.0,22,22,Serie B,25.4,33500000.0
506,2016,176930000.0,170230000.0,6700000.0,72,78,Serie A,27.0,420700000.0
6195,2016,116810000.0,99090000.0,17720000.0,35,38,Serie A,26.2,629000000.0
12,2016,43430000.0,102500000.0,-59070000.0,52,54,Serie A,26.2,317150000.0
46,2016,18500000.0,164630000.0,-146130000.0,48,59,Serie A,28.5,534450000.00000006
5,2016,25150000.0,29560000.0,-4410000.0,28,31,Serie A,27.0,547250000.0
398,2016,28700000.0,32700000.000000004,-4000000.0,33,27,Serie A,27.2,274150000.0
430,2016,31050000.0,15730000.0,15320000.0,42,44,Serie A,26.5,236300000.0
416,2016,26430000.0,28770000.0,-2350000.0,42,46,Serie A,24.6,169530000.0
800,2016,41330000.0,15940000.0,25390000.0,62,68,Serie A,26.6,329500000.0
6574,2016,27800000.0,27510000.0,292000.0,22,25,Serie A,25.9,171400000.0
1038,2016,80700000.0,39650000.0,41050000.0,53,50,Serie A,26.6,71450000.0
252,2016,50300000.0,27200000.0,23100000.0,54,52,Serie B,26.4,52550000.0
410,2016,32229999.999999996,26500000.0,5730000.0,55,60,Serie A,25.4,143050000.0
1025,2016,16980000.0,31300000.0,-14320000.0,37,36,Serie A,25.7,136100000.0
1390,2016,11620000.0,9720000.0,1900000.0,34,39,Serie B,25.9,32799999.999999996
749,2016,15000000.0,7000000.0,8000000.0,30,33,,,
2921,2016,22270000.0,14290000.0,7980000.0,56,66,Serie C - Girone C,24.6,9380000.0
862,2016,6280000.0,12570000.0,-6290000.0,51,53,,,
458,2016,29250000.0,8480000.0,20780000.0,33,37,,,
4083,2016,7750000.0,5950000.0,1800000.0,37,36,Serie C - Girone C,27.0,8060000.000000001
506,2017,145650000.0,177600000.0,-31950000.0,59,67,Serie A,27.0,420700000.0
6195,2017,17450000.0,68000000.0,-50550000.0,30,33,Serie A,26.2,629000000.0
46,2017,79240000.0,137630000.0,-58390000.0,63,58,Serie A,28.5,534450000.00000006
12,2017,156500000.0,91300000.0,65200000.0,51,58,Serie A,26.2,317150000.0
398,2017,73920000.0,28250000.0,45670000.0,23,29,Serie A,27.2,274150000.0
5,2017,39700000.0,186480000.0,-146780000.0,32,35,Serie A,27.0,547250000.0
430,2017,93580000.0,79500000.0,14080000.0,42,45,Serie A,26.5,236300000.0
800,2017,78040000.0,66590000.0,11450000.0,71,77,Serie A,26.6,329500000.0
1038,2017,71460000.0,51000000.0,20460000.0,38,41,Serie A,26.6,71450000.0
416,2017,79800000.0,26380000.0,53420000.0,38,37,Serie A,24.6,169530000.0
252,2017,46720000.0,14170000.0,32549999.999999996,51,56,Serie B,26.4,52550000.0
6574,2017,19250000.0,37100000.0,-17850000.0,28,31,Serie A,25.9,171400000.0
410,2017,17700000.0,22590000.0,-4890000.0,36,35,Serie A,25.4,143050000.0
1025,2017,0.0,13000000.0,-13000000.0,29,36,Serie A,25.7,136100000.0
1390,2017,19880000.0,31090000.0,-11220000.0,34,34,Serie B,25.9,32799999.999999996
2722,2017,574000.0,8740000.0,-8160000.0,30,31,,,
